product_id,name,product_type,sku,price,min_price,max_price,qty,collection_id,collection,category,category_name,store_code,gender
84890,GLAMIRA Bague Crystal,ring,G100190,1577.0,1545.0,16877.0,1,4378,fashion,27,Bagues,glfr,women
91308,Bague de Mariage Ornate Heart Basic,wedding_ring,DSC_7935,1658.0,746.0,13395.0,1,4291,vintage,688,Bagues de mariage,glfr,False
110385,Pendentif pour homme Anton,pendant,Men-Anton,850.0,578.0,6400.0,1,5157,symbols,849,Colliers,glfr,men
95228,Bague de fiançailles Gardenia 3.0 crt,ring,Gardenia-3.0crt,1238.0,841.0,183701.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
103415,Bague de fiançailles Loredana 1.0 crt,ring,nlp039,569.0,426.0,103592.0,1,5171,classic_solitaire,605,Bagues de fiançailles,glfr,women
100070,Boucle d'oreille femme Asanel,earring,ASANEL,457.0,329.0,3754.0,1,5473,drops_&_dangle,602,Boucles d'oreilles,glfr,women
89533,Boucle d'oreille femme Valerie,earring,E201416,676.0,540.0,130758.0,1,5473,drops_&_dangle,602,Boucles d'oreilles,glfr,women
95237,Bague de fiançailles Litzy 2.0 crt,ring,Litzy-2.0crt,705.0,521.0,133355.0,1,5170,design_solitaire,605,Bagues de fiançailles,glfr,women
99792,Bracelet pour femme Vanern,bracelet,OEBL-012,637.0,452.0,5927.0,1,5248,initial_&_name,754,Bracelets initiales & prénoms,glfr,women
99974,Bague de fiançailles Berafia,ring,BERAFIA,1267.0,823.0,107174.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
90959,Bague de fiançailles Dahlia 0.25crt,ring,G100105-25,648.0,453.0,12428.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
103726,Alliance pour femme Dazzling Molly 4 mm,wedding_ring,GWD-H6818014-W,584.0,233.0,6238.0,1,4090,twinset,689,Alliances pour femmes,glfr,women
97596,GLAMIRA Pendentif Aristaios,pendant,WSP-94,187.0,158.0,1542.0,1,4378,fashion,601,Pendentifs avec colliers,glfr,women
91352,Bague promesse couple Ceramic Cross,--_select_--,DSC_9410,316.0,316.0,2386.0,1,4659,ceramic_&_gold,16,Bagues de Promesse,glfr,False
101484,Boucle d'oreille femme Addelinda 18 mm,earring,ADELINDA-14M,672.0,443.0,6626.0,1,5474,huggies_&_hoops,602,Boucles d'oreilles,glfr,women
90889,Bague de fiançailles Bridal Element 0.8 crt,ring,G100790-08v,715.0,500.0,66262.0,1,5170,design_solitaire,605,Bagues de fiançailles,glfr,women
90715,Glamira Bague Zelmira,ring,R16,1795.0,921.0,14658.0,1,4395,swing,27,Bagues,glfr,women
108756,Glamira Bague Umika,ring,Umika,2668.0,1734.0,2462868.0,1,5240,big_stone,27,Bagues,glfr,women
103146,Bague de fiançailles Klaritza,ring,Klaritza,585.0,444.0,109588.0,1,4375,solitaire_pave,605,Bagues de fiançailles,glfr,women
107665,Bague de couple Brilliant Love 5 mm,wedding_ring,GWD-L-6900-5,1255.0,502.0,12812.0,1,4090,twinset,688,Bagues de mariage,glfr,False
110786,Pendentif pour femme Dani,pendant,dani,826.0,545.0,69426.0,1,4378,fashion,601,Pendentifs avec colliers,glfr,women
98204,Boucle d'oreille femme Tamiko,earring,DE-083,801.0,608.0,8357.0,1,5256,studs,602,Boucles d'oreilles,glfr,women
109587,GLAMIRA Bague Tomsina,ring,tomsina,606.0,393.0,19993.0,1,5172,two-stone,27,Bagues,glfr,women
